Bauer,Luftfeuchte,Bodenfeuchte,Luftwärme,Nährstoff,Licht,Dürre,Staunässe,Frost,Sturm,Bodenpflege,Jugendwachstum,"Verhalten zu Nachbarn","Eignung zum Vorwuchs","Eignung zum Vorwald",Ausschlagfähigkeit,Regenerationasfähigkeit,Ausheilungsvermögen,"Nutzholz aus Vornutzung",Holzdichte
Kiefer,0,1,0,0,3,0,2,0,0,1,2,0,0,1,0,0,2,2,510
Schwarzkiefer,0,0,0,0,3,0,2,0,1,2,1,1,1,1,0,0,2,2,560
Fichte,2,3,0,0,2,2,1,1,3,0,1,1,0,0,0,0,0,2,430
Tanne,1,2,1,1,0,1,2,2,2,3,0,2,2,0,0,1,1,2,410
Lärche,0,2,0,1,4,2,2,0,1,1,3,2,2,2,0,2,2,2,550
Stieleiche,1,3,2,2,3,2,0,2,0,3,1,2,1,0,3,0,2,0,690
Traubeneiche,1,1,1,1,3,1,2,2,0,3,1,2,1,0,3,0,2,0,670
Buche,1,1,1,1,0,1,2,1,1,3,1,0,0,0,1,2,0,0,680
Hainbuche,1,1,0,1,1,0,1,0,2,4,2,2,0,0,4,2,1,0,750
Bergahorn,1,2,1,2,2,2,2,1,2,3,2,1,0,0,3,0,0,0,600
Spitzahorn,1,0,1,1,1,1,2,1,2,4,2,1,0,0,3,0,0,0,600
Feldulme,1,2,2,2,2,2,0,1,1,4,2,1,1,0,3,2,1,0,640
Bergulme,1,2,1,2,2,1,1,1,1,4,2,1,1,0,3,2,1,0,640
Birke,0,0,0,0,4,0,2,0,3,2,3,2,1,2,1,0,0,1,640
Esche,1,4,1,2,3,2,0,2,2,3,2,2,1,1,3,1,1,2,670
Roterle,1,4,1,2,3,2,0,0,1,3,3,1,1,1,4,2,1,1,490
Weißerle,0,0,1,0,3,0,0,0,2,3,3,2,1,2,4,2,1,0,490
Schwarzpappel,1,2,0,1,4,1,0,0,2,2,3,1,1,1,3,2,2,1,410
Silberpappel,0,1,1,0,4,1,0,0,2,2,3,1,1,2,2,2,2,2,410
Aspe,0,1,0,0,4,1,1,0,2,2,3,2,2,2,3,1,1,2,450
Weide,1,3,1,2,3,2,0,0,2,3,3,2,1,2,4,3,2,1,520
Linde,1,1,1,1,1,0,1,0,1,4,2,1,0,0,4,3,2,0,520
